2 thrive 成功する・繁栄する 
1 grind 挽く 
1 confiscate 没収する 
2 derive 由来する・受け継ぐ 
1 detest ひどく嫌う 
2 mock 真似る・からかう 
1 feign ふりをする 
1 elicit 引き出す 
2 apprehend 逮捕する・理解する 
1 commisarate 哀れむ 
1 condone 許す 
1 epitomize の典型である  
2 fluctuate 変動する・上下する 
2 forgo なしで済ませる・慎む 
2 frisk ボディーチェックをする・跳ね回る  
1 insulate 隔離する 
2 liquidate 清算する・解散する 
1 meander 曲がりくねる 
1 meddle 干渉する 
1 pamper 甘やかす 
1 peruse 熟読する 
2 pique 立腹させる・刺激する 
1 plagiarize 盗用する 
2 plummet 落ちる・急落する 
1 rehash 作り変える 
2 implant 埋め込む・植えつける 
1 indocrinate 教え込む 
1 inculcate 教え込む 
2 enlighten 教える・啓発する 
